Leaf	varA	varD	Experiment
IM002102	2165.181019	-61.24505618	Exp04092020
IM002103	2821.106162	-164.104515	Exp04092020
IM002104	3234.64493	347.9872442	Exp04092020
IM002105	3418.860557	55.16830882	Exp04092020
IM002106	4081.842652	-94.2233973	Exp04092020
IM002117	3660.94335	-197.4282011	Exp04092020
IM002118	2900.926406	-90.04888455	Exp04092020
IM002119	3145.869119	-32.36295228	Exp04092020
IM002120	1088.095104	-247.4668561	Exp04092020
IM002121	3230.017898	-3.796655583	Exp04092020
YellowL1	3458.229953	367.9893206	Exp10092020
YellowL10	1791.129679	249.8249697	Exp10092020
YellowL2	2651.12381	506.1313392	Exp10092020
YellowL3	3290.107201	-3.694198139	Exp10092020
YellowL4	2343.196789	-29.75207949	Exp10092020
YellowL5	2182.089222	258.0642539	Exp10092020
YellowL6	2537.890304	227.5572784	Exp10092020
YellowL7	4743.498635	338.7056334	Exp10092020
YellowL8	2092.604215	615.7593946	Exp10092020
YellowL9	3611.815399	194.8908451	Exp10092020
YellowL1	4061.092123	-19.4506478	Exp31082020
YellowL10	2450.73016	125.7912425	Exp31082020
YellowL2	2271.887754	0.774563452	Exp31082020
YellowL3	3505.98835	206.3601825	Exp31082020
YellowL4	4424.336547	-126.7605346	Exp31082020
YellowL5	3510.023004	-114.9336101	Exp31082020
YellowL6	1206.694373	-71.59258147	Exp31082020
YellowL7	2488.644563	196.8977091	Exp31082020
YellowL8	2100.730901	-70.30690027	Exp31082020
YellowL9	3501.357645	137.3058798	Exp31082020
